drug1.conc,drug2.conc,drug1.units,drug2.units,drug1,drug2,effect,expt.date,effect.95ci,sample
0,0,uM,uM,Gemcitabine,MSeA,1.0967,5/20/2021,0,BxPC3
0.01,0,uM,uM,Gemcitabine,MSeA,0.5887,5/20/2021,0,BxPC3
0.1,0,uM,uM,Gemcitabine,MSeA,0.6196,5/20/2021,0,BxPC3
1,0,uM,uM,Gemcitabine,MSeA,0.5336,5/20/2021,0,BxPC3
10,0,uM,uM,Gemcitabine,MSeA,0.5125,5/20/2021,0,BxPC3
0,2.5,uM,uM,Gemcitabine,MSeA,0.5017,5/20/2021,0,BxPC3
0,5,uM,uM,Gemcitabine,MSeA,0.3898,5/20/2021,0,BxPC3
0,10,uM,uM,Gemcitabine,MSeA,0.291,5/20/2021,0,BxPC3
0,20,uM,uM,Gemcitabine,MSeA,0.3345,5/20/2021,0,BxPC3
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.4638,5/20/2021,0,BxPC3
0.01,5,uM,uM,Gemcitabine,MSeA,0.3683,5/20/2021,0,BxPC3
0.01,10,uM,uM,Gemcitabine,MSeA,0.2978,5/20/2021,0,BxPC3
0.01,20,uM,uM,Gemcitabine,MSeA,0.2788,5/20/2021,0,BxPC3
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.4578,5/20/2021,0,BxPC3
0.1,5,uM,uM,Gemcitabine,MSeA,0.3571,5/20/2021,0,BxPC3
0.1,10,uM,uM,Gemcitabine,MSeA,0.2921,5/20/2021,0,BxPC3
0.1,20,uM,uM,Gemcitabine,MSeA,0.2764,5/20/2021,0,BxPC3
1,2.5,uM,uM,Gemcitabine,MSeA,0.4338,5/20/2021,0,BxPC3
1,5,uM,uM,Gemcitabine,MSeA,0.3656,5/20/2021,0,BxPC3
1,10,uM,uM,Gemcitabine,MSeA,0.2938,5/20/2021,0,BxPC3
1,20,uM,uM,Gemcitabine,MSeA,0.2851,5/20/2021,0,BxPC3
10,2.5,uM,uM,Gemcitabine,MSeA,0.3981,5/20/2021,0,BxPC3
10,5,uM,uM,Gemcitabine,MSeA,0.3132,5/20/2021,0,BxPC3
10,10,uM,uM,Gemcitabine,MSeA,0.2704,5/20/2021,0,BxPC3
10,20,uM,uM,Gemcitabine,MSeA,0.27,5/20/2021,0,BxPC3
0,0,uM,uM,Gemcitabine,MSeA,0.7443,5/20/2021,0,BxPC3
0.01,0,uM,uM,Gemcitabine,MSeA,0.6324,5/20/2021,0,BxPC3
0.1,0,uM,uM,Gemcitabine,MSeA,0.6135,5/20/2021,0,BxPC3
1,0,uM,uM,Gemcitabine,MSeA,0.5381,5/20/2021,0,BxPC3
10,0,uM,uM,Gemcitabine,MSeA,0.5296,5/20/2021,0,BxPC3
0,2.5,uM,uM,Gemcitabine,MSeA,0.5549,5/20/2021,0,BxPC3
0,5,uM,uM,Gemcitabine,MSeA,0.3964,5/20/2021,0,BxPC3
0,10,uM,uM,Gemcitabine,MSeA,0.3119,5/20/2021,0,BxPC3
0,20,uM,uM,Gemcitabine,MSeA,0.3028,5/20/2021,0,BxPC3
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.5074,5/20/2021,0,BxPC3
0.01,5,uM,uM,Gemcitabine,MSeA,0.368,5/20/2021,0,BxPC3
0.01,10,uM,uM,Gemcitabine,MSeA,0.3174,5/20/2021,0,BxPC3
0.01,20,uM,uM,Gemcitabine,MSeA,0.2673,5/20/2021,0,BxPC3
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.534,5/20/2021,0,BxPC3
0.1,5,uM,uM,Gemcitabine,MSeA,0.366,5/20/2021,0,BxPC3
0.1,10,uM,uM,Gemcitabine,MSeA,0.3032,5/20/2021,0,BxPC3
0.1,20,uM,uM,Gemcitabine,MSeA,0.2752,5/20/2021,0,BxPC3
1,2.5,uM,uM,Gemcitabine,MSeA,0.4873,5/20/2021,0,BxPC3
1,5,uM,uM,Gemcitabine,MSeA,0.3475,5/20/2021,0,BxPC3
1,10,uM,uM,Gemcitabine,MSeA,0.2988,5/20/2021,0,BxPC3
1,20,uM,uM,Gemcitabine,MSeA,0.2869,5/20/2021,0,BxPC3
10,2.5,uM,uM,Gemcitabine,MSeA,0.4654,5/20/2021,0,BxPC3
10,5,uM,uM,Gemcitabine,MSeA,0.3085,5/20/2021,0,BxPC3
10,10,uM,uM,Gemcitabine,MSeA,0.2665,5/20/2021,0,BxPC3
10,20,uM,uM,Gemcitabine,MSeA,0.2736,5/20/2021,0,BxPC3
0,0,uM,uM,Gemcitabine,MSeA,0.6078,5/20/2021,0,BxPC3
0.01,0,uM,uM,Gemcitabine,MSeA,0.6601,5/20/2021,0,BxPC3
0.1,0,uM,uM,Gemcitabine,MSeA,0.6136,5/20/2021,0,BxPC3
1,0,uM,uM,Gemcitabine,MSeA,0.5312,5/20/2021,0,BxPC3
10,0,uM,uM,Gemcitabine,MSeA,0.4673,5/20/2021,0,BxPC3
0,2.5,uM,uM,Gemcitabine,MSeA,0.4925,5/20/2021,0,BxPC3
0,5,uM,uM,Gemcitabine,MSeA,0.4067,5/20/2021,0,BxPC3
0,10,uM,uM,Gemcitabine,MSeA,0.2904,5/20/2021,0,BxPC3
0,20,uM,uM,Gemcitabine,MSeA,0.2688,5/20/2021,0,BxPC3
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.4777,5/20/2021,0,BxPC3
0.01,5,uM,uM,Gemcitabine,MSeA,0.3735,5/20/2021,0,BxPC3
0.01,10,uM,uM,Gemcitabine,MSeA,0.2941,5/20/2021,0,BxPC3
0.01,20,uM,uM,Gemcitabine,MSeA,0.2776,5/20/2021,0,BxPC3
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.4993,5/20/2021,0,BxPC3
0.1,5,uM,uM,Gemcitabine,MSeA,0.3396,5/20/2021,0,BxPC3
0.1,10,uM,uM,Gemcitabine,MSeA,0.2999,5/20/2021,0,BxPC3
0.1,20,uM,uM,Gemcitabine,MSeA,0.2611,5/20/2021,0,BxPC3
1,2.5,uM,uM,Gemcitabine,MSeA,0.4711,5/20/2021,0,BxPC3
1,5,uM,uM,Gemcitabine,MSeA,0.3627,5/20/2021,0,BxPC3
1,10,uM,uM,Gemcitabine,MSeA,0.3032,5/20/2021,0,BxPC3
1,20,uM,uM,Gemcitabine,MSeA,0.2523,5/20/2021,0,BxPC3
10,2.5,uM,uM,Gemcitabine,MSeA,0.4906,5/20/2021,0,BxPC3
10,5,uM,uM,Gemcitabine,MSeA,0.3411,5/20/2021,0,BxPC3
10,10,uM,uM,Gemcitabine,MSeA,0.2911,5/20/2021,0,BxPC3
10,20,uM,uM,Gemcitabine,MSeA,0.2345,5/20/2021,0,BxPC3
