drug1.conc,drug2.conc,drug1.units,drug2.units,drug1,drug2,effect,expt.date,effect.95ci,sample
0,0,uM,uM,Gemcitabine,MSeA,0.6413,10/21/2020,0,MiaPaca2
0.001,0,uM,uM,Gemcitabine,MSeA,0.676,10/21/2020,0,MiaPaca2
0.01,0,uM,uM,Gemcitabine,MSeA,0.6999,10/21/2020,0,MiaPaca2
0.1,0,uM,uM,Gemcitabine,MSeA,0.5992,10/21/2020,0,MiaPaca2
1,0,uM,uM,Gemcitabine,MSeA,0.6576,10/21/2020,0,MiaPaca2
0,2.5,uM,uM,Gemcitabine,MSeA,0.5009,10/21/2020,0,MiaPaca2
0,5,uM,uM,Gemcitabine,MSeA,0.1561,10/21/2020,0,MiaPaca2
0,10,uM,uM,Gemcitabine,MSeA,0.1839,10/21/2020,0,MiaPaca2
0.001,2.5,uM,uM,Gemcitabine,MSeA,0.4598,10/21/2020,0,MiaPaca2
0.001,5,uM,uM,Gemcitabine,MSeA,0.266,10/21/2020,0,MiaPaca2
0.001,10,uM,uM,Gemcitabine,MSeA,0.1739,10/21/2020,0,MiaPaca2
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.4293,10/21/2020,0,MiaPaca2
0.01,5,uM,uM,Gemcitabine,MSeA,0.1945,10/21/2020,0,MiaPaca2
0.01,10,uM,uM,Gemcitabine,MSeA,0.1759,10/21/2020,0,MiaPaca2
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.4394,10/21/2020,0,MiaPaca2
0.1,5,uM,uM,Gemcitabine,MSeA,0.1956,10/21/2020,0,MiaPaca2
0.1,10,uM,uM,Gemcitabine,MSeA,0.1724,10/21/2020,0,MiaPaca2
1,2.5,uM,uM,Gemcitabine,MSeA,0.4595,10/21/2020,0,MiaPaca2
1,5,uM,uM,Gemcitabine,MSeA,0.1622,10/21/2020,0,MiaPaca2
1,10,uM,uM,Gemcitabine,MSeA,0.1442,10/21/2020,0,MiaPaca2
0,0,uM,uM,Gemcitabine,MSeA,0.6392,10/21/2020,0,MiaPaca2
0.001,0,uM,uM,Gemcitabine,MSeA,0.706,10/21/2020,0,MiaPaca2
0.01,0,uM,uM,Gemcitabine,MSeA,0.6692,10/21/2020,0,MiaPaca2
0.1,0,uM,uM,Gemcitabine,MSeA,0.5284,10/21/2020,0,MiaPaca2
1,0,uM,uM,Gemcitabine,MSeA,0.6258,10/21/2020,0,MiaPaca2
0,2.5,uM,uM,Gemcitabine,MSeA,0.4889,10/21/2020,0,MiaPaca2
0,5,uM,uM,Gemcitabine,MSeA,0.1759,10/21/2020,0,MiaPaca2
0,10,uM,uM,Gemcitabine,MSeA,0.1961,10/21/2020,0,MiaPaca2
0.001,2.5,uM,uM,Gemcitabine,MSeA,0.4429,10/21/2020,0,MiaPaca2
0.001,5,uM,uM,Gemcitabine,MSeA,0.255,10/21/2020,0,MiaPaca2
0.001,10,uM,uM,Gemcitabine,MSeA,0.1775,10/21/2020,0,MiaPaca2
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.4511,10/21/2020,0,MiaPaca2
0.01,5,uM,uM,Gemcitabine,MSeA,0.1819,10/21/2020,0,MiaPaca2
0.01,10,uM,uM,Gemcitabine,MSeA,0.1899,10/21/2020,0,MiaPaca2
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.4362,10/21/2020,0,MiaPaca2
0.1,5,uM,uM,Gemcitabine,MSeA,0.2164,10/21/2020,0,MiaPaca2
0.1,10,uM,uM,Gemcitabine,MSeA,0.1596,10/21/2020,0,MiaPaca2
1,2.5,uM,uM,Gemcitabine,MSeA,0.3939,10/21/2020,0,MiaPaca2
1,5,uM,uM,Gemcitabine,MSeA,0.1396,10/21/2020,0,MiaPaca2
1,10,uM,uM,Gemcitabine,MSeA,0.1571,10/21/2020,0,MiaPaca2
0,0,uM,uM,Gemcitabine,MSeA,0.6571,10/21/2020,0,MiaPaca2
0.001,0,uM,uM,Gemcitabine,MSeA,0.6153,10/21/2020,0,MiaPaca2
0.01,0,uM,uM,Gemcitabine,MSeA,0.6728,10/21/2020,0,MiaPaca2
