drug1.conc,drug2.conc,drug1.units,drug2.units,drug1,drug2,effect,expt.date,effect.95ci,sample
0,0,uM,uM,Gemcitabine,MSeA,0.8244,10/21/2020,0,Panc1
0.01,0,uM,uM,Gemcitabine,MSeA,0.8146,10/21/2020,0,Panc1
0.1,0,uM,uM,Gemcitabine,MSeA,0.7662,10/21/2020,0,Panc1
1,0,uM,uM,Gemcitabine,MSeA,0.7517,10/21/2020,0,Panc1
0,2.5,uM,uM,Gemcitabine,MSeA,0.5764,10/21/2020,0,Panc1
0,5,uM,uM,Gemcitabine,MSeA,0.4193,10/21/2020,0,Panc1
0,10,uM,uM,Gemcitabine,MSeA,0.4431,10/21/2020,0,Panc1
0.001,2.5,uM,uM,Gemcitabine,MSeA,0.4981,10/21/2020,0,Panc1
0.001,5,uM,uM,Gemcitabine,MSeA,0.4269,10/21/2020,0,Panc1
0.001,10,uM,uM,Gemcitabine,MSeA,0.39,10/21/2020,0,Panc1
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.5967,10/21/2020,0,Panc1
0.01,5,uM,uM,Gemcitabine,MSeA,0.4363,10/21/2020,0,Panc1
0.01,10,uM,uM,Gemcitabine,MSeA,0.4984,10/21/2020,0,Panc1
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.4237,10/21/2020,0,Panc1
0.1,5,uM,uM,Gemcitabine,MSeA,0.3928,10/21/2020,0,Panc1
0.1,10,uM,uM,Gemcitabine,MSeA,0.3654,10/21/2020,0,Panc1
1,2.5,uM,uM,Gemcitabine,MSeA,0.5249,10/21/2020,0,Panc1
1,5,uM,uM,Gemcitabine,MSeA,0.3483,10/21/2020,0,Panc1
1,10,uM,uM,Gemcitabine,MSeA,0.3982,10/21/2020,0,Panc1
0,0,uM,uM,Gemcitabine,MSeA,0.8077,10/21/2020,0,Panc1
0.01,0,uM,uM,Gemcitabine,MSeA,0.9075,10/21/2020,0,Panc1
0.1,0,uM,uM,Gemcitabine,MSeA,0.6377,10/21/2020,0,Panc1
1,0,uM,uM,Gemcitabine,MSeA,0.7774,10/21/2020,0,Panc1
0,2.5,uM,uM,Gemcitabine,MSeA,0.6779,10/21/2020,0,Panc1
0,5,uM,uM,Gemcitabine,MSeA,0.3925,10/21/2020,0,Panc1
0,10,uM,uM,Gemcitabine,MSeA,0.4667,10/21/2020,0,Panc1
0.001,2.5,uM,uM,Gemcitabine,MSeA,0.5639,10/21/2020,0,Panc1
0.001,5,uM,uM,Gemcitabine,MSeA,0.4023,10/21/2020,0,Panc1
0.001,10,uM,uM,Gemcitabine,MSeA,0.4251,10/21/2020,0,Panc1
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.72,10/21/2020,0,Panc1
0.01,5,uM,uM,Gemcitabine,MSeA,0.4295,10/21/2020,0,Panc1
0.01,10,uM,uM,Gemcitabine,MSeA,0.4737,10/21/2020,0,Panc1
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.4944,10/21/2020,0,Panc1
0.1,5,uM,uM,Gemcitabine,MSeA,0.411,10/21/2020,0,Panc1
0.1,10,uM,uM,Gemcitabine,MSeA,0.4613,10/21/2020,0,Panc1
1,2.5,uM,uM,Gemcitabine,MSeA,0.6151,10/21/2020,0,Panc1
1,5,uM,uM,Gemcitabine,MSeA,0.3927,10/21/2020,0,Panc1
1,10,uM,uM,Gemcitabine,MSeA,0.4374,10/21/2020,0,Panc1
0,0,uM,uM,Gemcitabine,MSeA,0.8113,10/21/2020,0,Panc1
0.001,0,uM,uM,Gemcitabine,MSeA,0.6809,10/21/2020,0,Panc1
0.01,0,uM,uM,Gemcitabine,MSeA,0.7841,10/21/2020,0,Panc1
0.1,0,uM,uM,Gemcitabine,MSeA,0.7471,10/21/2020,0,Panc1
1,0,uM,uM,Gemcitabine,MSeA,0.7855,10/21/2020,0,Panc1
0,2.5,uM,uM,Gemcitabine,MSeA,0.4974,10/21/2020,0,Panc1
0,5,uM,uM,Gemcitabine,MSeA,0.3645,10/21/2020,0,Panc1
0,10,uM,uM,Gemcitabine,MSeA,0.474,10/21/2020,0,Panc1
0.001,2.5,uM,uM,Gemcitabine,MSeA,0.4407,10/21/2020,0,Panc1
0.001,5,uM,uM,Gemcitabine,MSeA,0.4649,10/21/2020,0,Panc1
0.001,10,uM,uM,Gemcitabine,MSeA,0.4055,10/21/2020,0,Panc1
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.5825,10/21/2020,0,Panc1
0.01,5,uM,uM,Gemcitabine,MSeA,0.4375,10/21/2020,0,Panc1
0.01,10,uM,uM,Gemcitabine,MSeA,0.4404,10/21/2020,0,Panc1
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.4329,10/21/2020,0,Panc1
0.1,5,uM,uM,Gemcitabine,MSeA,0.3881,10/21/2020,0,Panc1
0.1,10,uM,uM,Gemcitabine,MSeA,0.3442,10/21/2020,0,Panc1
1,2.5,uM,uM,Gemcitabine,MSeA,0.5595,10/21/2020,0,Panc1
1,5,uM,uM,Gemcitabine,MSeA,0.3723,10/21/2020,0,Panc1
1,10,uM,uM,Gemcitabine,MSeA,0.4167,10/21/2020,0,Panc1
