drug1.conc,drug2.conc,effect,hsa
0.0,0.0,0.7795,
0.001,0.0,0.7879999999999999,
0.01,0.0,0.7406,
0.1,0.0,0.5228,
1.0,0.0,0.5196,
0.0,2.5,0.5679,
0.0,5.0,0.4102,
0.0,10.0,0.4195,
0.001,2.5,0.5395,0.03713333333333324
0.001,5.0,0.3767,0.016266666666666707
0.001,10.0,0.3691,0.06006666666666671
0.01,2.5,0.5346,0.042033333333333256
0.01,5.0,0.3933,-0.0003333333333332966
0.01,10.0,0.3812,0.04796666666666671
0.1,2.5,0.5031,0.006033333333333335
0.1,5.0,0.3749,0.018066666666666675
0.1,10.0,0.3382,0.0909666666666667
1.0,2.5,0.4322,0.0993
1.0,5.0,0.3423,0.05066666666666669
1.0,10.0,0.3108,0.11836666666666668
0.0,0.0,0.7644,
0.001,0.0,0.7827,
0.01,0.0,0.6446,
0.1,0.0,0.4791,
1.0,0.0,0.5345,
0.0,2.5,0.584,
0.0,5.0,0.3857,
0.0,10.0,0.4453,
0.001,2.5,0.5759,0.0007333333333332526
0.001,5.0,0.3863,0.00666666666666671
0.001,10.0,0.3587,0.07046666666666668
0.01,2.5,0.5618,0.014833333333333254
0.01,5.0,0.396,-0.0030333333333333323
0.01,10.0,0.3973,0.03186666666666671
0.1,2.5,0.5196,-0.010466666666666624
0.1,5.0,0.3293,0.0636666666666667
0.1,10.0,0.3237,0.10546666666666671
1.0,2.5,0.4851,0.0464
1.0,5.0,0.3281,0.06486666666666668
1.0,10.0,0.3232,0.10596666666666671
0.0,0.0,0.7694,
0.001,0.0,0.7336,
0.01,0.0,0.562,
0.1,0.0,0.5255,
1.0,0.0,0.5404,
0.0,2.5,0.578,
0.0,5.0,0.38299999999999995,
0.0,10.0,0.4227,
0.001,2.5,0.5173,0.05933333333333324
0.001,5.0,0.3595,0.0334666666666667
0.001,10.0,0.3571,0.07206666666666672
0.01,2.5,0.5317,0.04493333333333327
0.01,5.0,0.37799999999999995,0.01496666666666674
0.01,10.0,0.3588,0.07036666666666669
0.1,2.5,0.47600000000000003,0.03313333333333329
0.1,5.0,0.3465,0.04646666666666671
0.1,10.0,0.3129,0.11626666666666668
1.0,2.5,0.4385,0.09299999999999997
1.0,5.0,0.3081,0.0848666666666667
1.0,10.0,0.3205,0.10866666666666669
