drug1.conc,drug2.conc,effect,hsa
0.0,0.0,0.6413,
0.001,0.0,0.6759999999999999,
0.01,0.0,0.6999,
0.1,0.0,0.5992,
1.0,0.0,0.6576,
0.0,2.5,0.5009,
0.0,5.0,0.1561,
0.0,10.0,0.1839,
0.001,2.5,0.4598,0.01696666666666663
0.001,5.0,0.266,-0.09063333333333334
0.001,10.0,0.1739,0.004766666666666669
0.01,2.5,0.4293,0.0474666666666666
0.01,5.0,0.1945,-0.019133333333333336
0.01,10.0,0.1759,0.0027666666666666673
0.1,2.5,0.4394,0.037366666666666604
0.1,5.0,0.1956,-0.020233333333333325
0.1,10.0,0.1724,0.00626666666666667
1.0,2.5,0.4595,0.017266666666666597
1.0,5.0,0.1622,0.01316666666666666
1.0,10.0,0.1442,0.03446666666666667
0.0,0.0,0.6392,
0.001,0.0,0.706,
0.01,0.0,0.6692,
0.1,0.0,0.5284,
1.0,0.0,0.6258,
0.0,2.5,0.4889,
0.0,5.0,0.1759,
0.0,10.0,0.1961,
0.001,2.5,0.4429,0.0338666666666666
0.001,5.0,0.255,-0.07963333333333333
0.001,10.0,0.1775,0.001166666666666677
0.01,2.5,0.4511,0.025666666666666615
0.01,5.0,0.1819,-0.0065333333333333354
0.01,10.0,0.1899,-0.011233333333333345
0.1,2.5,0.4362,0.04056666666666664
0.1,5.0,0.2164,-0.04103333333333334
0.1,10.0,0.1596,0.019066666666666676
1.0,2.5,0.3939,0.08286666666666664
1.0,5.0,0.1396,0.03576666666666667
1.0,10.0,0.1571,0.02156666666666668
0.0,0.0,0.6571,
0.001,0.0,0.6153,
0.01,0.0,0.6728,
0.1,0.0,0.6255,
1.0,0.0,0.5599,
0.0,2.5,0.4405,
0.0,5.0,0.1941,
0.0,10.0,0.156,
0.001,2.5,0.3723,0.1044666666666666
0.001,5.0,0.1789,-0.0035333333333333328
0.001,10.0,0.1916,-0.012933333333333324
0.01,2.5,0.2912,0.1855666666666666
0.01,5.0,0.1901,-0.01473333333333332
0.01,10.0,0.1875,-0.008833333333333332
0.1,2.5,0.3733,0.1034666666666666
0.1,5.0,0.1823,-0.006933333333333319
0.1,10.0,0.1497,0.02896666666666667
1.0,2.5,0.3674,0.10936666666666661
1.0,5.0,0.1482,0.027166666666666672
1.0,10.0,0.14400000000000002,0.03466666666666665
