drug1.conc,drug2.conc,effect,hsa
0.0,0.0,0.8244,
0.01,0.0,0.8146,
0.1,0.0,0.7662,
1.0,0.0,0.7517,
0.0,2.5,0.5764,
0.0,5.0,0.4193,
0.0,10.0,0.4431,
0.001,2.5,0.4981,0.08579999999999999
0.001,5.0,0.4269,-0.03479999999999994
0.001,10.0,0.39,0.07126666666666664
0.01,2.5,0.5967,-0.012800000000000034
0.01,5.0,0.4363,-0.04419999999999996
0.01,10.0,0.4984,-0.03713333333333335
0.1,2.5,0.4237,0.16019999999999995
0.1,5.0,0.3928,-0.0006999999999999229
0.1,10.0,0.3654,0.09586666666666666
1.0,2.5,0.5249,0.05899999999999994
1.0,5.0,0.3483,0.04380000000000006
1.0,10.0,0.3982,0.06306666666666666
0.0,0.0,0.8077,
0.01,0.0,0.9075,
0.1,0.0,0.6377,
1.0,0.0,0.7774,
0.0,2.5,0.6779,
0.0,5.0,0.3925,
0.0,10.0,0.4667,
0.001,2.5,0.5639,0.020000000000000018
0.001,5.0,0.4023,-0.010199999999999931
0.001,10.0,0.4251,0.03616666666666668
0.01,2.5,0.72,-0.1361
0.01,5.0,0.4295,-0.03739999999999993
0.01,10.0,0.4737,-0.012433333333333352
0.1,2.5,0.4944,0.08949999999999997
0.1,5.0,0.41100000000000003,-0.018899999999999972
0.1,10.0,0.4613,-3.333333333332966e-05
1.0,2.5,0.6151,-0.031200000000000006
1.0,5.0,0.3927,-0.0005999999999999339
1.0,10.0,0.4374,0.023866666666666647
0.0,0.0,0.8113,
0.001,0.0,0.6809,
0.01,0.0,0.7841,
0.1,0.0,0.7471,
1.0,0.0,0.7855,
0.0,2.5,0.4974,
0.0,5.0,0.3645,
0.0,10.0,0.474,
0.001,2.5,0.4407,0.1432
0.001,5.0,0.4649,-0.07279999999999992
0.001,10.0,0.4055,0.05576666666666663
0.01,2.5,0.5825,0.0013999999999999568
0.01,5.0,0.4375,-0.04539999999999994
0.01,10.0,0.4404,0.020866666666666644
0.1,2.5,0.4329,0.15099999999999997
0.1,5.0,0.3881,0.004000000000000059
0.1,10.0,0.3442,0.11706666666666665
1.0,2.5,0.5595,0.024399999999999977
1.0,5.0,0.3723,0.01980000000000004
1.0,10.0,0.4167,0.04456666666666664
