drug1.conc,drug2.conc,drug1.units,drug2.units,drug1.name,drug2.name,effect,expt.date,effect.95ci,sample
0,0,uM,uM,Gemcitabine,MSeA,1.5668,9/23/2020,0,BxPC3
0.01,0,uM,uM,Gemcitabine,MSeA,1.2128,9/23/2020,0,BxPC3
0.1,0,uM,uM,Gemcitabine,MSeA,0.8688,9/23/2020,0,BxPC3
1,0,uM,uM,Gemcitabine,MSeA,0.765,9/23/2020,0,BxPC3
0,1.25,uM,uM,Gemcitabine,MSeA,1.4018,9/23/2020,0,BxPC3
0,2.5,uM,uM,Gemcitabine,MSeA,1.3085,9/23/2020,0,BxPC3
0,5,uM,uM,Gemcitabine,MSeA,0.9697,9/23/2020,0,BxPC3
0,10,uM,uM,Gemcitabine,MSeA,0.6883,9/23/2020,0,BxPC3
0.01,1.25,uM,uM,Gemcitabine,MSeA,0.9704,9/23/2020,0,BxPC3
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.858,9/23/2020,0,BxPC3
0.01,5,uM,uM,Gemcitabine,MSeA,0.6341,9/23/2020,0,BxPC3
0.01,10,uM,uM,Gemcitabine,MSeA,0.5519,9/23/2020,0,BxPC3
0.1,1.25,uM,uM,Gemcitabine,MSeA,0.6997,9/23/2020,0,BxPC3
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.6993,9/23/2020,0,BxPC3
0.1,5,uM,uM,Gemcitabine,MSeA,0.5526,9/23/2020,0,BxPC3
0.1,10,uM,uM,Gemcitabine,MSeA,0.4699,9/23/2020,0,BxPC3
1,1.25,uM,uM,Gemcitabine,MSeA,0.596,9/23/2020,0,BxPC3
1,2.5,uM,uM,Gemcitabine,MSeA,0.6416,9/23/2020,0,BxPC3
1,5,uM,uM,Gemcitabine,MSeA,0.5041,9/23/2020,0,BxPC3
1,10,uM,uM,Gemcitabine,MSeA,0.4732,9/23/2020,0,BxPC3
0,0,uM,uM,Gemcitabine,MSeA,1.5052,9/23/2020,0,BxPC3
0.01,0,uM,uM,Gemcitabine,MSeA,1.1783,9/23/2020,0,BxPC3
0.1,0,uM,uM,Gemcitabine,MSeA,0.8404,9/23/2020,0,BxPC3
1,0,uM,uM,Gemcitabine,MSeA,0.7232,9/23/2020,0,BxPC3
0,1.25,uM,uM,Gemcitabine,MSeA,1.3633,9/23/2020,0,BxPC3
0,2.5,uM,uM,Gemcitabine,MSeA,1.3151,9/23/2020,0,BxPC3
0,5,uM,uM,Gemcitabine,MSeA,0.9015,9/23/2020,0,BxPC3
0,10,uM,uM,Gemcitabine,MSeA,0.6994,9/23/2020,0,BxPC3
0.01,1.25,uM,uM,Gemcitabine,MSeA,1.0322,9/23/2020,0,BxPC3
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.7985,9/23/2020,0,BxPC3
0.01,5,uM,uM,Gemcitabine,MSeA,0.5996,9/23/2020,0,BxPC3
0.01,10,uM,uM,Gemcitabine,MSeA,0.5114,9/23/2020,0,BxPC3
0.1,1.25,uM,uM,Gemcitabine,MSeA,0.7744,9/23/2020,0,BxPC3
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.6778,9/23/2020,0,BxPC3
0.1,5,uM,uM,Gemcitabine,MSeA,0.4998,9/23/2020,0,BxPC3
0.1,10,uM,uM,Gemcitabine,MSeA,0.4679,9/23/2020,0,BxPC3
1,1.25,uM,uM,Gemcitabine,MSeA,0.6729,9/23/2020,0,BxPC3
1,2.5,uM,uM,Gemcitabine,MSeA,0.5918,9/23/2020,0,BxPC3
1,5,uM,uM,Gemcitabine,MSeA,0.4965,9/23/2020,0,BxPC3
1,10,uM,uM,Gemcitabine,MSeA,0.4953,9/23/2020,0,BxPC3
0,0,uM,uM,Gemcitabine,MSeA,1.5015,9/23/2020,0,BxPC3
0.01,0,uM,uM,Gemcitabine,MSeA,1.1963,9/23/2020,0,BxPC3
0.1,0,uM,uM,Gemcitabine,MSeA,0.8839,9/23/2020,0,BxPC3
1,0,uM,uM,Gemcitabine,MSeA,0.7775,9/23/2020,0,BxPC3
0,1.25,uM,uM,Gemcitabine,MSeA,1.3528,9/23/2020,0,BxPC3
0,2.5,uM,uM,Gemcitabine,MSeA,1.2256,9/23/2020,0,BxPC3
0,5,uM,uM,Gemcitabine,MSeA,0.8476,9/23/2020,0,BxPC3
0,10,uM,uM,Gemcitabine,MSeA,0.6343,9/23/2020,0,BxPC3
0.01,1.25,uM,uM,Gemcitabine,MSeA,0.8907,9/23/2020,0,BxPC3
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.8414,9/23/2020,0,BxPC3
0.01,5,uM,uM,Gemcitabine,MSeA,0.5813,9/23/2020,0,BxPC3
0.01,10,uM,uM,Gemcitabine,MSeA,0.475,9/23/2020,0,BxPC3
0.1,1.25,uM,uM,Gemcitabine,MSeA,0.7586,9/23/2020,0,BxPC3
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.6692,9/23/2020,0,BxPC3
0.1,5,uM,uM,Gemcitabine,MSeA,0.5391,9/23/2020,0,BxPC3
0.1,10,uM,uM,Gemcitabine,MSeA,0.43,9/23/2020,0,BxPC3
1,1.25,uM,uM,Gemcitabine,MSeA,0.694,9/23/2020,0,BxPC3
1,2.5,uM,uM,Gemcitabine,MSeA,0.5675,9/23/2020,0,BxPC3
1,5,uM,uM,Gemcitabine,MSeA,0.5406,9/23/2020,0,BxPC3
1,10,uM,uM,Gemcitabine,MSeA,0.382,9/23/2020,0,BxPC3
