drug1.conc,drug2.conc,effect,hsa
0.0,0.0,1.8365,
0.01,0.0,1.0397,
0.1,0.0,0.5831,
1.0,0.0,0.3096,
0.0,1.25,1.9095,
0.0,2.5,1.5744,
0.0,5.0,0.6007,
0.0,10.0,0.4175,
0.01,1.25,0.8135,0.16070000000000007
0.01,2.5,0.6176,0.35660000000000003
0.01,5.0,0.3711,0.20379999999999998
0.01,10.0,0.2947,0.0799333333333333
0.1,1.25,0.5442,0.026466666666666527
0.1,2.5,0.4064,0.16426666666666656
0.1,5.0,0.3346,0.23606666666666654
0.1,10.0,0.2694,0.10523333333333335
1.0,1.25,0.2923,0.012699999999999989
1.0,2.5,0.2594,0.045599999999999974
1.0,5.0,0.2071,0.09789999999999999
1.0,10.0,0.2074,0.09759999999999999
0.0,0.0,1.8835,
0.01,0.0,0.9947,
0.1,0.0,0.5879,
1.0,0.0,0.3078,
0.0,1.25,1.9394,
0.0,2.5,1.4017,
0.0,5.0,0.6385,
0.0,10.0,0.3527,
0.01,1.25,0.8682,0.1060000000000001
0.01,2.5,0.5666,0.4076000000000001
0.01,5.0,0.3908,0.18409999999999999
0.01,10.0,0.2824,0.09223333333333333
0.1,1.25,0.5089,0.061766666666666525
0.1,2.5,0.4248,0.14586666666666653
0.1,5.0,0.2842,0.28646666666666654
0.1,10.0,0.239,0.13563333333333333
1.0,1.25,0.2702,0.0348
1.0,2.5,0.2694,0.03560000000000002
1.0,5.0,0.1879,0.11709999999999998
1.0,10.0,0.2083,0.09669999999999998
0.0,0.0,1.8645,
0.01,0.0,0.8882,
0.1,0.0,0.541,
1.0,0.0,0.2976,
0.0,1.25,1.8104,
0.0,2.5,1.3658,
0.0,5.0,0.4855,
0.0,10.0,0.3537,
0.01,1.25,0.7711,0.20310000000000006
0.01,2.5,0.5328,0.4414
0.01,5.0,0.3494,0.22549999999999998
0.01,10.0,0.2652,0.10943333333333333
0.1,1.25,0.5635,0.0071666666666665435
0.1,2.5,0.4155,0.15516666666666656
0.1,5.0,0.2826,0.2880666666666665
0.1,10.0,0.2597,0.11493333333333333
1.0,1.25,0.2561,0.0489
1.0,2.5,0.2377,0.0673
1.0,5.0,0.2303,0.07469999999999999
1.0,10.0,0.2354,0.0696
